wind_speed_max,wind_speed_mean,wind_direction_mean,air_temp,barometric_pressure,depth,water_temperature,specific_conductivity,pH,turbidity,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,chlorophylla,phycocyanin,flourescent_dissolved_organic_matter,log_phyco,sqrt_phyco,sqrt_turb,sqrt_DOsat,sqrt_DO,sqrt_chlorophyll
7.5,5.371,214.6,28.22,1010.079,1.041,26.54,262,8.74,2.462,116.3,9.34,0.647,0.261,0.484,0.231905057,0.510881591,1.569076161,10.78424777,3.056141358,0.804363102
7.85,5.062,219.2,27.82,1010.281,1.043,26.49,261.5,8.74,2.343,116.1,9.33,0.602,0.22,0.472,0.198850859,0.469041576,1.530686121,10.774971,3.05450487,0.77588659
8.65,5.016,230.4,27.32,1010.788,1.052,26.47,261.3,8.74,2.566,116.1,9.34,0.583,0.212,0.475,0.192271888,0.460434577,1.601873903,10.774971,3.056141358,0.763544367
8.85,6.555,231.3,27.41,1011.092,1.058,26.38,261.4,8.74,2.567,115.7,9.32,0.571,0.217,0.488,0.196388814,0.465832588,1.602186007,10.75639345,3.052867504,0.755645419
7.7,5.563,225.9,26.97,1011.192,1.053,26.33,260.8,8.73,2.295,115.5,9.31,0.594,0.19,0.463,0.173953307,0.435889894,1.514925741,10.74709263,3.05122926,0.770713955
8.65,5.906,219.8,26.77,1011.076,1.06,26.28,260.1,8.72,2.314,115,9.28,0.563,0.197,0.438,0.179818427,0.44384682,1.52118375,10.72380529,3.046309242,0.750333259
8.45,6.482,217,26.68,1011.239,1.06,26.27,259.6,8.73,2.473,114.7,9.26,0.565,0.213,0.47,0.19309663,0.46151923,1.572577502,10.70980859,3.043024811,0.751664819
7.95,5.703,218.9,26.49,1011.349,1.06,26.18,257.7,8.71,2.563,113.8,9.2,0.564,0.187,0.464,0.171429116,0.432434966,1.600937226,10.66770828,3.033150178,0.750999334
7.45,5.294,220.6,26.12,1011.336,1.061,26.11,257.4,8.7,2.388,113,9.14,0.564,0.19,0.438,0.173953307,0.435889894,1.545315502,10.63014581,3.023243292,0.750999334
6.65,4.806,230,25.96,1011.84,1.063,26.07,258,8.7,2.336,112.6,9.12,0.57,0.205,0.374,0.186479567,0.452769257,1.528397854,10.61131472,3.019933774,0.754983444
15.65,8.75,246.9,26.23,1012.259,1.07,26.08,258.9,8.71,2.32,112.7,9.12,0.571,0.172,0.383,0.158711691,0.414728827,1.523154621,10.61602562,3.019933774,0.755645419
14.75,8.84,280.9,25,1012.659,1.071,26.04,259.1,8.7,2.342,112.1,9.08,0.583,0.184,0.39,0.168898536,0.428952212,1.530359435,10.58772875,3.013303835,0.763544367
8.8,6.394,289.1,23.93,1012.719,1.073,25.98,258.5,8.68,2.354,111.1,9.01,0.589,0.203,0.355,0.184818437,0.450555213,1.534275073,10.54039847,3.001666204,0.767463354
8.25,5.503,305.3,23.6,1013.077,1.08,25.93,258,8.67,2.336,110,8.93,0.58,0.191,0.306,0.17479329,0.437035468,1.528397854,10.48808848,2.988310559,0.761577311
6.5,4.424,298.3,23.68,1013.031,1.079,25.89,257.6,8.66,2.589,109.2,8.87,0.593,0.203,0.319,0.184818437,0.450555213,1.609036979,10.44988038,2.978254522,0.770064932
5.3,3.699,273.4,23.72,1012.668,1.077,25.85,257.7,8.65,2.63,108.5,8.83,0.567,0.161,0.291,0.149281703,0.401248053,1.621727474,10.41633333,2.971531592,0.752994024
4.4,3.572,259,23.62,1012.363,1.07,25.82,256.1,8.65,2.261,107.9,8.78,0.573,0.138,0.266,0.129272336,0.371483512,1.503662196,10.38749248,2.963106478,0.756967635
3.9,3.166,250.6,23.55,1012.228,1.07,25.8,256.9,8.65,2.281,107.5,8.75,0.547,0.151,0.281,0.14063113,0.388587185,1.510297984,10.36822068,2.958039892,0.739594483
4.05,3.201,239.8,23.54,1012.177,1.073,25.78,256.6,8.64,2.086,107,8.71,0.572,0.144,0.266,0.134530893,0.379473319,1.444299138,10.34408043,2.951270913,0.756306816
5.85,4.003,240.7,23.21,1012.336,1.08,25.77,255.8,8.64,2.09,106.7,8.69,0.536,0.153,0.189,0.142367241,0.391152144,1.445683229,10.32956921,2.947880595,0.732120209
4.2,3.284,233.1,23.13,1012.242,1.08,25.76,255.2,8.63,2.145,106.5,8.67,0.543,0.152,0.162,0.141499562,0.389871774,1.464581852,10.31988372,2.944486373,0.736885337
4.55,3.474,248.1,23.2,1012.461,1.08,25.74,256,8.63,2.116,106.2,8.65,0.576,0.148,0.227,0.138021298,0.384707681,1.454647724,10.30533842,2.941088234,0.758946638
4.5,3.46,270.1,23.31,1012.949,1.08,25.72,255.5,8.63,2.073,105.9,8.63,0.556,0.137,0.238,0.128393215,0.37013511,1.439791652,10.29077257,2.937686164,0.745654075
4.7,3.205,279.9,23.15,1012.89,1.08,25.71,253.9,8.62,2.048,105.3,8.59,0.526,0.123,0.2,0.116003676,0.350713558,1.431083506,10.26157883,2.930870178,0.725258575
3.25,2.424,263.8,23.06,1012.947,1.08,25.71,254.2,8.62,2.151,105.2,8.58,0.543,0.135,0.148,0.126632651,0.367423461,1.466628787,10.25670512,2.929163703,0.736885337
3,2.308,261,23.26,1013.048,1.08,25.71,253.5,8.62,2.201,105,8.56,0.54,0.148,0.149,0.138021298,0.384707681,1.483576759,10.24695077,2.925747768,0.734846923
4.25,2.852,231.1,23.52,1013.129,1.08,25.7,253.2,8.62,1.993,104.9,8.55,0.548,0.158,0.168,0.146694379,0.397492138,1.411736519,10.2420701,2.924038303,0.740270221
6.1,4.236,235.7,23.65,1013.097,1.08,25.68,254.1,8.62,2.234,104.9,8.56,0.563,0.133,0.175,0.124868982,0.364691651,1.494657151,10.2420701,2.925747768,0.750333259
6.7,4.898,247.2,23.57,1013.323,1.083,25.66,254.3,8.61,2.059,104.9,8.56,0.553,0.126,0.173,0.11867153,0.354964787,1.434921601,10.2420701,2.925747768,0.743639698
7.7,5.309,250.8,23.37,1013.146,1.087,25.66,253.4,8.61,2.062,104.7,8.55,0.516,0.13,0.154,0.122217633,0.360555128,1.435966573,10.23230179,2.924038303,0.7183314
6.25,4.667,262.4,23.1,1013.203,1.08,25.65,252.9,8.61,2.135,104.8,8.55,0.538,0.127,0.134,0.119559235,0.356370594,1.46116392,10.23718711,2.924038303,0.733484833
4.65,3.847,255.1,22.92,1013.117,1.08,25.64,252.8,8.61,2.074,104.8,8.55,0.532,0.121,0.149,0.114221144,0.347850543,1.440138882,10.23718711,2.924038303,0.729383301
6.25,4.386,239.9,22.98,1012.854,1.08,25.62,253.3,8.61,2.077,104.5,8.53,0.512,0.126,0.206,0.11867153,0.354964787,1.441180072,10.22252415,2.920616373,0.715541753
7.75,5.401,232.1,23.2,1012.717,1.08,25.63,253.7,8.6,2.029,104.3,8.52,0.523,0.173,0.196,0.15956457,0.415932687,1.42442971,10.21273715,2.918903904,0.723187389
8.9,6.373,230.4,23.32,1012.745,1.08,25.62,253.3,8.6,2.214,104.3,8.52,0.54,0.139,0.158,0.130150684,0.372827038,1.487951612,10.21273715,2.918903904,0.734846923
9.7,6.811,231.2,23.33,1012.739,1.08,25.6,252.8,8.6,2.034,104.3,8.51,0.526,0.135,0.135,0.126632651,0.367423461,1.426183719,10.21273715,2.917190429,0.725258575
10.05,6.858,234.3,23.28,1012.732,1.08,25.59,251.9,8.6,1.998,104,8.5,0.535,0.139,0.137,0.130150684,0.372827038,1.413506279,10.19803903,2.915475947,0.731436942
9.5,6.729,237,23.23,1012.881,1.08,25.59,251.5,8.59,2.075,103.9,8.49,0.562,0.151,0.122,0.14063113,0.388587185,1.440486029,10.19313494,2.913760457,0.749666593
8.95,6.984,241.5,23.14,1012.92,1.08,25.57,250.9,8.6,2,103.9,8.49,0.56,0.154,0.048,0.143234168,0.392428337,1.414213562,10.19313494,2.913760457,0.748331477
10.5,7.016,248.5,22.95,1012.948,1.081,25.56,250.7,8.59,1.983,103.4,8.45,0.548,0.142,0.035,0.132781111,0.376828874,1.408190328,10.16857906,2.906888371,0.740270221
10,6.948,253.5,22.79,1013.091,1.08,25.54,250.4,8.57,1.968,102.7,8.4,0.54,0.15,0.073,0.139761942,0.387298335,1.402854233,10.13410085,2.898275349,0.734846923
10.5,6.943,254.5,22.61,1013.259,1.081,25.52,250.8,8.56,1.86,101.6,8.32,0.504,0.107,0.105,0.101653654,0.327108545,1.36381817,10.07968253,2.88444102,0.709929574
9.4,6.851,260.2,22.35,1013.295,1.083,25.49,251.2,8.54,1.859,100.6,8.24,0.511,0.138,0.105,0.129272336,0.371483512,1.363451503,10.02995513,2.870540019,0.71484264
10.4,7.344,263.6,22.04,1013.67,1.09,25.47,250.1,8.54,1.918,100.5,8.23,0.517,0.126,0.096,0.11867153,0.354964787,1.38491877,10.02496883,2.868797658,0.71902712
9.2,7.119,263.7,21.83,1013.659,1.09,25.47,250,8.54,1.88,100.4,8.22,0.503,0.106,0.077,0.100749903,0.325576412,1.37113092,10.01998004,2.867054237,0.709224929
10,7.081,264.3,21.6,1013.834,1.09,25.46,249,8.53,1.857,99.9,8.18,0.469,0.079,0.083,0.076034686,0.281069386,1.362717872,9.994998749,2.860069929,0.684835747
9.7,6.8,264.7,21.46,1014.144,1.09,25.44,249.3,8.53,1.837,99.6,8.16,0.474,0.097,0.063,0.092579181,0.31144823,1.355359731,9.97997996,2.856571371,0.688476579
8.95,6.861,267.9,21.36,1014.192,1.09,25.44,250,8.53,1.728,99.5,8.15,0.446,0.086,0.092,0.082501222,0.293257566,1.314534138,9.974968672,2.854820485,0.667832314
10.35,7.016,268,21.59,1014.168,1.09,25.43,250,8.53,1.696,99.6,8.16,0.434,0.075,0.094,0.072320662,0.273861279,1.302305648,9.97997996,2.856571371,0.658786764
9.9,6.54,270.1,21.79,1014.327,1.09,25.42,250,8.53,1.738,99.7,8.17,0.434,0.084,0.119,0.080657903,0.289827535,1.31833228,9.984988733,2.858321186,0.658786764
9.45,6.781,277.3,21.93,1014.207,1.09,25.42,250.1,8.54,1.854,99.7,8.17,0.392,0.087,0.116,0.083421608,0.294957624,1.361616686,9.984988733,2.858321186,0.626099034
8.75,6.479,281.6,22.14,1014.208,1.09,25.41,249.2,8.54,1.842,99.9,8.19,0.402,0.086,0.114,0.082501222,0.293257566,1.357203006,9.994998749,2.861817604,0.634034699
8.35,6.159,282.8,22.43,1014.076,1.091,25.42,250.2,8.55,1.968,100.3,8.22,0.431,0.101,0.109,0.096218858,0.317804972,1.402854233,10.01498877,2.867054237,0.656505902
7.1,4.798,287.9,22.85,1014.194,1.091,25.42,249,8.55,2.034,100.3,8.22,0.426,0.109,0.123,0.103458708,0.33015148,1.426183719,10.01498877,2.867054237,0.652686755
4.8,3.846,280.8,23.52,1014.361,1.09,25.43,249.1,8.55,2.213,100.5,8.23,0.416,0.067,0.074,0.064850972,0.258843582,1.487615542,10.02496883,2.868797658,0.64498062
4.05,3.344,269.6,24.06,1014.366,1.09,25.44,248.8,8.56,2.385,100.7,8.25,0.406,0.081,0.068,0.077886539,0.284604989,1.544344521,10.03493896,2.872281323,0.637181293
3.8,2.866,267.1,24.5,1014.341,1.09,25.46,248.4,8.56,2.048,100.9,8.26,0.41,0.073,0.053,0.070458464,0.270185122,1.431083506,10.0448992,2.874021573,0.640312424
4.65,3.357,227.9,24.55,1014.294,1.09,25.46,248.1,8.56,1.872,101,8.27,0.422,0.078,0.048,0.075107472,0.279284801,1.36821051,10.04987562,2.875760769,0.649615271
5.1,3.906,210.8,23.96,1014.411,1.09,25.5,249.1,8.57,1.792,101.3,8.29,0.397,0.086,0.01,0.082501222,0.293257566,1.338656042,10.06479011,2.87923601,0.63007936
6.1,4.321,206.9,23.72,1014.49,1.09,25.52,248.7,8.57,1.915,101.6,8.31,0.387,0.064,0.003,0.062035391,0.252982213,1.38383525,10.07968253,2.882707061,0.622093241
12.2,9.38,240.1,19.72,1009.584,1.038,25.46,238.5,8.48,2.076,96.9,7.937,0.278,0.003,0.029,0.002995509,0.054772256,1.440833092,9.843779762,2.81726818,0.527257053
13.75,9.36,242.6,19.63,1009.658,1.032,25.45,238,8.48,1.984,96.7,7.92,0.286,0.01,0.013,0.009950331,0.1,1.408545349,9.833615815,2.814249456,0.534789678
13.05,9.62,244.3,19.73,1009.69,1.033,25.46,238,8.47,2.058,96.4,7.891,0.254,0.028,0.016,0.027615167,0.167332005,1.434573107,9.818350167,2.80909238,0.503984127
13.4,9.91,245.2,19.74,1009.871,1.04,25.45,238.2,8.47,1.898,96.3,7.887,0.236,0.019,0.041,0.018821754,0.137840488,1.377679208,9.81325634,2.808380316,0.485798312
13.8,9.68,249.3,19.9,1009.962,1.039,25.43,239,8.46,1.937,96.3,7.887,0.23,0.021,0.098,0.020782539,0.144913767,1.391761474,9.81325634,2.808380316,0.479583152
12.75,8.93,251.2,20.22,1010.031,1.04,25.41,239.4,8.46,1.927,96.4,7.902,0.234,0.008,0.126,0.00796817,0.089442719,1.388164255,9.818350167,2.811049626,0.483735465
11.3,8.47,245.3,20.24,1009.869,1.04,25.4,240.5,8.46,2.038,96.3,7.889,0.247,0.009,0.135,0.008959741,0.09486833,1.427585374,9.81325634,2.808736371,0.496990946
13.45,9.13,253.5,20.41,1009.841,1.04,25.38,239.8,8.47,2.094,96.5,7.917,0.244,0.01,0.142,0.009950331,0.1,1.447065997,9.823441352,2.813716404,0.493963561
11.1,8.48,266.6,20.6,1010.854,1.053,25.32,239.5,8.48,2.128,97,7.965,0.246,0.006,0.121,0.005982072,0.077459667,1.458766602,9.848857802,2.822233158,0.495983871
11.2,8.49,264.7,20.58,1011.071,1.06,25.31,239,8.48,2.003,97.1,7.981,0.23,0.022,0.078,0.021761492,0.14832397,1.415273825,9.853933225,2.825066371,0.479583152
12.05,8.88,268.2,20.52,1011.315,1.059,25.3,238.6,8.49,2.31,97.1,7.977,0.223,0.053,0.08,0.051643233,0.230217289,1.519868415,9.853933225,2.824358334,0.472228758
11.65,8.06,261.2,20.59,1011.354,1.06,25.29,238.5,8.49,2.182,97.1,7.978,0.234,0.005,0.081,0.004987542,0.070710678,1.477159436,9.853933225,2.82453536,0.483735465
11.55,8.36,260.4,20.71,1011.344,1.06,25.28,238.3,8.5,2.311,97.4,8,0.252,0.013,0.068,0.012916225,0.114017543,1.520197356,9.869143833,2.828427125,0.501996016
11.8,8.32,260.3,20.78,1011.403,1.06,25.27,237.6,8.5,2.239,97.7,8.03,0.231,0.012,0.086,0.011928571,0.109544512,1.496328841,9.884331035,2.833725463,0.480624594
10.4,7.347,263.1,20.78,1011.459,1.06,25.26,237.5,8.51,2.504,97.9,8.05,0.24,0.049,0.106,0.047837329,0.221359436,1.582403236,9.894442885,2.837252192,0.489897949
11.05,7.754,261.7,20.82,1011.398,1.06,25.26,238.1,8.52,2.497,98,8.05,0.282,0.035,0.154,0.034401427,0.187082869,1.580189862,9.899494937,2.837252192,0.531036722
10.45,7.879,255.3,21.07,1011.358,1.06,25.27,238.6,8.52,2.624,97.8,8.04,0.275,0.052,0.147,0.050693114,0.228035085,1.619876539,9.889388252,2.835489376,0.524404424
10.95,7.732,249.6,21.32,1011.398,1.06,25.27,238.1,8.52,2.455,97.9,8.05,0.271,0.037,0.143,0.036331929,0.192353841,1.566843962,9.894442885,2.837252192,0.520576603
10.15,7.705,245.3,21.67,1011.404,1.06,25.28,237.3,8.51,2.351,98.3,8.07,0.248,0.012,0.106,0.011928571,0.109544512,1.533297101,9.914635646,2.840774542,0.497995984
9.4,7.204,234.6,21.88,1011.124,1.06,25.31,237.5,8.52,2.331,98.5,8.09,0.273,0.018,0.124,0.017839918,0.134164079,1.526761278,9.924716621,2.844292531,0.522494019
9.1,6.888,230.7,22.14,1011.098,1.06,25.34,237.1,8.52,2.319,98.5,8.09,0.253,0.006,0.066,0.005982072,0.077459667,1.52282632,9.924716621,2.844292531,0.502991054
9.75,6.761,221,22.39,1010.832,1.06,25.37,237,8.52,2.203,98.6,8.08,0.226,0.014,0.029,0.013902905,0.118321596,1.484250653,9.92975327,2.842534081,0.475394573
9.85,6.696,247.2,26.16,1009.399,1.04,25.77,236.4,8.56,2.614,102.3,8.34,0.285,0.067,0.025,0.064850972,0.258843582,1.616786937,10.11434625,2.887905816,0.533853913
10.85,7.794,251.2,26.22,1009.144,1.04,25.79,238.3,8.57,2.546,102.8,8.36,0.292,0.069,0.099,0.066723632,0.262678511,1.595619002,10.13903348,2.891366459,0.540370243
11.35,6.936,254.6,26.29,1009.159,1.04,25.79,239.6,8.58,2.472,102.9,8.38,0.298,0.097,0.195,0.092579181,0.31144823,1.572259521,10.14396372,2.894822965,0.545893763
9.8,6.55,253.5,26.47,1009.015,1.04,25.8,240.6,8.58,2.563,103.2,8.4,0.316,0.082,0.267,0.07881118,0.286356421,1.600937226,10.15874008,2.898275349,0.562138773
10.1,6.153,251.8,26.43,1009.119,1.04,25.81,241.4,8.58,2.968,103.5,8.42,0.325,0.086,0.367,0.082501222,0.293257566,1.722788437,10.17349497,2.901723626,0.570087713
9.8,6.595,257.9,26.48,1009.214,1.04,25.83,242.9,8.59,2.87,103.7,8.44,0.338,0.108,0.458,0.102556588,0.328633535,1.694107435,10.18331969,2.905167809,0.581377674
9.1,6.808,257.9,26.52,1009.219,1.04,25.82,243,8.59,3.018,103.9,8.45,0.341,0.134,0.526,0.125751205,0.366060104,1.737239189,10.19313494,2.906888371,0.583952053
9.75,6.226,253.6,26.44,1009.302,1.04,25.82,244,8.59,2.957,103.8,8.44,0.355,0.136,0.616,0.12751332,0.368781778,1.719592975,10.1882285,2.905167809,0.595818764
8.3,5.632,247,26.2,1009.508,1.04,25.82,244.2,8.59,2.709,103.4,8.42,0.312,0.095,0.628,0.090754363,0.3082207,1.645904007,10.16857906,2.901723626,0.558569602
7.3,5.862,246.3,25.83,1009.578,1.04,25.82,243.7,8.59,2.512,103.3,8.41,0.292,0.084,0.553,0.080657903,0.289827535,1.58492902,10.16366076,2.9,0.540370243
9.8,6.323,245.2,25.85,1009.522,1.041,25.81,243.4,8.58,2.423,103,8.38,0.288,0.105,0.529,0.099845335,0.324037035,1.556598856,10.14889157,2.894822965,0.536656315
7.4,5.671,252.8,24.18,1009.904,1.05,25.74,249.1,8.57,2.924,101.9,8.31,0.319,0.109,0.97,0.103458708,0.33015148,1.70997076,10.09455299,2.882707061,0.56480085
8,6.078,253.6,24.11,1009.944,1.05,25.74,248.7,8.57,2.639,101.5,8.27,0.326,0.086,1.003,0.082501222,0.293257566,1.624499923,10.07472084,2.875760769,0.570964097
7.05,5.864,249,23.97,1010.066,1.053,25.73,248,8.56,2.632,101.4,8.26,0.314,0.085,1.016,0.081579987,0.291547595,1.622343983,10.0697567,2.874021573,0.560357029
6.4,5.339,243.4,23.93,1010.307,1.059,25.71,249,8.56,2.64,101.2,8.25,0.305,0.139,1.029,0.130150684,0.372827038,1.624807681,10.05982107,2.872281323,0.552268051
6.1,5.113,243.9,23.78,1010.22,1.06,25.69,248.5,8.56,2.503,100.9,8.23,0.289,0.111,1.036,0.105260511,0.333166625,1.582087229,10.0448992,2.868797658,0.537587202
6.9,5.38,245.2,23.75,1010.247,1.06,25.7,248.7,8.55,2.551,100.4,8.19,0.27,0.093,1.06,0.088926209,0.304959014,1.597185024,10.01998004,2.861817604,0.519615242
7.4,5.626,247.2,23.74,1010.283,1.06,25.68,248,8.55,2.52,100.4,8.19,0.303,0.083,1.084,0.079734968,0.288097206,1.587450787,10.01998004,2.861817604,0.550454358
10.1,6.742,243.8,23.74,1010.462,1.06,25.68,246.2,8.54,2.415,100.1,8.16,0.299,0.095,1.085,0.090754363,0.3082207,1.554027027,10.00499875,2.856571371,0.546808925
8.45,6.729,250.7,23.51,1010.513,1.06,25.66,246.3,8.54,2.288,100.1,8.16,0.287,0.101,1.067,0.096218858,0.317804972,1.512613632,10.00499875,2.856571371,0.535723809
8.15,6.333,257.4,23.06,1010.528,1.06,25.67,246.7,8.54,2.426,99.8,8.14,0.286,0.095,1.093,0.090754363,0.3082207,1.557562198,9.989994995,2.853068524,0.534789678
9,6.344,254.4,22.84,1010.485,1.06,25.66,248,8.53,2.323,99.4,8.11,0.272,0.111,1.118,0.105260511,0.333166625,1.524139101,9.969954864,2.847806173,0.521536192
8.25,6.464,252.5,22.78,1010.389,1.06,25.64,248.3,8.53,2.398,99.3,8.1,0.263,0.09,1.106,0.086177696,0.3,1.548547707,9.964938535,2.846049894,0.512835256
8.95,6.746,257.1,22.72,1010.301,1.06,25.63,248.3,8.53,2.463,99.2,8.09,0.272,0.086,1.106,0.082501222,0.293257566,1.569394788,9.959919678,2.844292531,0.521536192
9.2,6.743,265,22.57,1010.421,1.06,25.61,249,8.52,2.037,98.9,8.08,0.256,0.086,1.132,0.082501222,0.293257566,1.427235089,9.944847912,2.842534081,0.505964426
9.5,6.913,264.3,22.22,1010.417,1.06,25.62,248.3,8.52,2.149,98.9,8.07,0.263,0.048,1.121,0.046883586,0.219089023,1.465946793,9.944847912,2.840774542,0.512835256
9.45,7.077,262,22.17,1010.619,1.06,25.6,248,8.52,2.038,98.7,8.06,0.278,0.131,1.123,0.123102197,0.361939221,1.427585374,9.934787366,2.839013913,0.527257053
9.15,6.652,257.6,22.25,1010.668,1.06,25.58,247.7,8.52,2.228,98.7,8.06,0.282,0.1,1.09,0.09531018,0.316227766,1.492648653,9.934787366,2.839013913,0.531036722
8.7,6.498,250.8,22.29,1010.748,1.06,25.58,249,8.52,2.326,98.4,8.04,0.266,0.094,1.11,0.089840704,0.306594194,1.525122946,9.919677414,2.835489376,0.515751878
9.1,6.529,256.1,22.18,1010.863,1.06,25.58,248,8.51,2.114,97.9,8,0.252,0.066,1.144,0.063913326,0.256904652,1.453960109,9.894442885,2.828427125,0.501996016
9.5,6.641,267.1,22.02,1010.879,1.06,25.55,247.1,8.5,1.923,97.5,7.973,0.25,0.056,1.155,0.054488185,0.236643191,1.386722755,9.874208829,2.82365012,0.5
8.05,5.937,265.5,21.8,1010.824,1.06,25.54,246.6,8.5,1.97,97.5,7.976,0.251,0.046,1.115,0.044973366,0.214476106,1.403566885,9.874208829,2.824181297,0.500999002
7.4,5.94,262.2,21.67,1010.695,1.06,25.54,247.4,8.5,1.908,97.4,7.97,0.255,0.09,1.148,0.086177696,0.3,1.381303732,9.869143833,2.823118843,0.504975247
8.7,6.709,263.7,21.51,1010.534,1.06,25.52,246.5,8.5,2.004,97.3,7.962,0.242,0.068,1.193,0.065787741,0.260768096,1.41562707,9.864076237,2.821701614,0.491934955
9.45,6.985,264.7,21.33,1010.471,1.06,25.51,248.1,8.49,1.901,97,7.937,0.246,0.088,1.219,0.084341148,0.296647939,1.378767566,9.848857802,2.81726818,0.495983871
9.95,7.098,269.7,21.11,1010.589,1.06,25.5,249.9,8.49,2.017,96.9,7.93,0.243,0.119,1.221,0.112435429,0.344963766,1.420211252,9.843779762,2.816025568,0.492950302
9.2,7.174,266.8,20.91,1010.757,1.06,25.49,247.7,8.49,2.003,96.8,7.925,0.252,0.113,1.233,0.107059072,0.336154726,1.415273825,9.838699101,2.815137652,0.501996016
9.6,6.829,263.7,20.76,1010.959,1.06,25.47,246.5,8.48,2.162,96.6,7.907,0.238,0.114,1.25,0.107957142,0.33763886,1.470374102,9.8285299,2.811938833,0.487852437
9.15,6.757,272.7,20.61,1011.008,1.06,25.46,245.8,8.48,1.92,96.5,7.897,0.24,0.079,1.273,0.076034686,0.281069386,1.385640646,9.823441352,2.810160138,0.489897949
9.6,7.037,276.1,20.42,1011.013,1.062,25.45,245.5,8.48,1.749,96.3,7.889,0.238,0.09,1.267,0.086177696,0.3,1.322497637,9.81325634,2.808736371,0.487852437
9.45,6.933,275.8,20.26,1011.127,1.069,25.43,244.6,8.48,1.918,96.1,7.876,0.218,0.087,1.292,0.083421608,0.294957624,1.38491877,9.803060747,2.806421209,0.466904701
9.05,6.824,270.2,20.13,1011.507,1.07,25.41,245.2,8.47,1.837,95.8,7.856,0.227,0.094,1.339,0.089840704,0.306594194,1.355359731,9.787747443,2.802855687,0.47644517
8.9,6.859,272,19.94,1011.548,1.07,25.41,247.1,8.47,1.728,95.6,7.836,0.254,0.119,1.401,0.112435429,0.344963766,1.314534138,9.777525249,2.799285623,0.503984127
9,6.914,270.8,19.7,1011.701,1.07,25.39,247,8.47,1.791,95.4,7.825,0.254,0.104,1.379,0.098939948,0.32249031,1.338282481,9.767292358,2.797320146,0.503984127
8.65,6.603,270,19.62,1011.777,1.07,25.37,247.5,8.47,1.72,95.2,7.812,0.244,0.072,1.377,0.069526063,0.268328157,1.311487705,9.757048734,2.794995528,0.493963561
9.25,6.851,268.7,19.6,1011.945,1.072,25.36,248,8.46,1.836,95.2,7.813,0.249,0.077,1.368,0.074179398,0.277488739,1.354990775,9.757048734,2.795174413,0.498998998
9.25,7.055,272.5,19.37,1012.329,1.079,25.36,246.1,8.46,1.704,94.8,7.782,0.208,0.062,1.387,0.060153923,0.248997992,1.30537351,9.736529156,2.789623631,0.45607017
8.5,6.626,273.8,19.45,1012.507,1.08,25.34,245.9,8.46,1.794,94.6,7.768,0.222,0.064,1.395,0.062035391,0.252982213,1.339402852,9.726253133,2.787113202,0.47116876
8.55,6.647,278.5,19.6,1012.504,1.08,25.32,244.9,8.46,1.727,94.7,7.775,0.208,0.084,1.413,0.080657903,0.289827535,1.31415372,9.731392501,2.788368699,0.45607017
9.25,7.007,281,19.68,1012.658,1.08,25.31,246.4,8.45,1.689,94.6,7.763,0.223,0.059,1.432,0.057325067,0.242899156,1.299615328,9.726253133,2.786216072,0.472228758
7.35,5.469,285.7,21.41,1013.628,1.09,25.25,245.5,8.46,2.061,95,7.814,0.209,0.067,1.486,0.064850972,0.258843582,1.435618334,9.746794345,2.795353287,0.457165178
7.05,5.641,289.3,21.53,1013.533,1.09,25.26,244.9,8.46,2.064,95.2,7.831,0.212,0.071,1.478,0.068592791,0.266458252,1.4366628,9.757048734,2.798392396,0.460434577
6.55,5.166,269.4,21.74,1013.564,1.09,25.26,244.7,8.46,2.134,95.4,7.843,0.219,0.094,1.455,0.089840704,0.306594194,1.460821687,9.767292358,2.800535663,0.467974358
7.85,5.277,265.5,21.72,1013.579,1.088,25.25,245.7,8.47,2.133,95.9,7.882,0.241,0.105,1.47,0.099845335,0.324037035,1.460479373,9.792854538,2.807489982,0.490917508
6.9,4.923,251.4,21.95,1013.604,1.083,25.27,245.8,8.49,2.03,96.6,7.935,0.223,0.082,1.468,0.07881118,0.286356421,1.424780685,9.8285299,2.816913204,0.472228758
8.05,5.727,244.1,21.93,1013.505,1.089,25.29,247.2,8.5,2.62,97.2,7.985,0.225,0.064,1.491,0.062035391,0.252982213,1.618641406,9.859006035,2.82577423,0.474341649
7.6,5.43,244.8,22.01,1013.434,1.09,25.31,247.2,8.51,2.456,97.6,8.01,0.216,0.082,1.488,0.07881118,0.286356421,1.567163042,9.879271228,2.83019434,0.464758002
10,6.776,268.2,22.2,1013.554,1.09,25.32,246.5,8.52,2.614,98,8.05,0.231,0.114,1.453,0.107957142,0.33763886,1.616786937,9.899494937,2.837252192,0.480624594
13,8.24,275.4,22.13,1013.679,1.09,25.33,246.7,8.52,2.706,98.4,8.07,0.229,0.181,1.427,0.166361537,0.425440948,1.644992401,9.919677414,2.840774542,0.478539445
12.6,8.63,274.8,22.11,1013.588,1.09,25.33,246.2,8.53,2.287,98.6,8.09,0.248,0.086,1.448,0.082501222,0.293257566,1.512283042,9.92975327,2.844292531,0.497995984
10.45,7.621,274.8,22.28,1013.492,1.09,25.33,246.5,8.53,2.001,98.9,8.12,0.247,0.088,1.423,0.084341148,0.296647939,1.414567072,9.944847912,2.84956137,0.496990946
12.6,9.34,280.3,22.42,1013.602,1.09,25.34,246.3,8.53,2.044,99.1,8.14,0.242,0.083,1.383,0.079734968,0.288097206,1.42968528,9.954898292,2.853068524,0.491934955
